가사,박자,옥타브,음
동,1,2,D
해,1.5,2,G
물,0.5,2,F
과,1,2,E
백,1,2,G
두,1,2,D
산,1,1,B
이,1,2,D
마,1,2,G
르,0.5,2,A
고,0.5,2,B
닳,1.5,3,C
도,0.5,2,B
록,3,2,A
하,1.5,3,D
느,0.5,3,C
님,1,2,B
이,1,2,A
보,1,2,G
우,0.5,2,F
-,0.5,2,E
하,1,2,D
사,1,1,B
우,1,2,D
리,1,2,G
나,0.5,2,A
라,0.5,2,A
만,1,2,B
세,3,2,G
무,1.5,2,F
-,0.5,2,G
궁,1,2,A
화,1,2,F
삼,1.5,2,B
-,0.5,3,C
천,1,3,D
리,1,2,B
화,1,2,A
려,1,2,G
강,1,2,F
-,1,2,G
산,3,2,A
대,1,3,D
한,0.5,3,C
사,1,2,B
람,1,2,A
대,1,2,G
한,0.5,2,F
-,0.5,2,E
으,1,2,D
로,1,1,B
길,1,2,D
이,1,2,G
보,0.5,2,A
전,0.5,2,A
하,1,2,B
세,3,2,G
